word1,word2,n,decade
accusers,brought,1,pre1900
acts,committed,1,pre1900
ad,3rd,1,pre1900
ad,eame,1,pre1900
additional,line,1,pre1900
address,delivered,1,pre1900
address,label,1,pre1900
adequate,punishment,1,pre1900
adjacent,timber,1,pre1900
adjoining,county,1,pre1900
adjudged,guilty,1,pre1900
adkins,anticipates,1,pre1900
administered,church,1,pre1900
administering,justice,1,pre1900
admission,50,1,pre1900
admit,interfere,1,pre1900
adrian,de,1,pre1900
advertising,rates,1,pre1900
advised,resistance,1,pre1900
affable,gentleman,1,pre1900
africa,strictly,1,pre1900
afroamericans,george,1,pre1900
afroamericans,lent,1,pre1900
afroamericans,recently,1,pre1900
afrocolored,shriners,1,pre1900
afternoon,married,1,pre1900
afterward,beaten,1,pre1900
afterward,carried,1,pre1900
agate,line,1,pre1900
agate,lines,1,pre1900
age,white,1,pre1900
aged,96,1,pre1900
agency,417,1,pre1900
aggrieved,class,1,pre1900
ago,breen,1,pre1900
ago,suspend,1,pre1900
ago,withered,1,pre1900
agricultural,populations,1,pre1900
agricultural,production,1,pre1900
agustine's,benevo,1,pre1900
aid,insurance,1,pre1900
al,officers,1,pre1900
al,weisinger,1,pre1900
ala,sept,1,pre1900
alabama,conor's,1,pre1900
alabama,election,1,pre1900
alabama,negro,1,pre1900
alabama,steel,1,pre1900
alaska,oct,1,pre1900
alaska,received,1,pre1900
albany,john,1,pre1900
alds,dr,1,pre1900
ale,federate,1,pre1900
alex,white,1,pre1900
alexandria,va,1,pre1900
alleged,incendiaries,1,pre1900
alleged,offender,1,pre1900
allen,18,1,pre1900
allen,maintain,1,pre1900
allen,thompson,1,pre1900
allen,west,1,pre1900
allowed,boston,1,pre1900
allowed,expected,1,pre1900
allowed,time,1,pre1900
allowed,topic,1,pre1900
alluring,advertisements,1,pre1900
ally,pledging,1,pre1900
altar,consecrated,1,pre1900
altered,times,1,pre1900
amass,wealth,1,pre1900
amazing,utterances,1,pre1900
ambitious,youth,1,pre1900
american,citizens,1,pre1900
american,citizenship,1,pre1900
american,civiliza,1,pre1900
american,girl,1,pre1900
american,government,1,pre1900
american,rapist,1,pre1900
american,review,1,pre1900
american,soil,1,pre1900
american,union,1,pre1900
american,workers,1,pre1900
americans,attend,1,pre1900
amount,required,1,pre1900
amounts,named,1,pre1900
ample,justice,1,pre1900
anarchy,pref,1,pre1900
anger,led,1,pre1900
angle,saxon,1,pre1900
anglo,saxon,1,pre1900
angrily,seizing,1,pre1900
angry,mob,1,pre1900
annie,300,1,pre1900
annual,rate,1,pre1900
answer,suited,1,pre1900
antartic,expeditior,1,pre1900
