"","X","file_id","newspaper_name","lynch_address","date","news_address","news_location_lon","news_location_lat","newspaper_city","newspaper_state_code","year","page","url","city_lynch","state_lynch","sn","lynching.lon","lynching.lat","miles","in_state","decade","Newspaper_State","Newspaper_Region","Newspaper_Region2"
"916",1310,14345,"The San Francisco call ","NA, NA","12/21/1909","San Francisco , California",-122.41942,37.774929,"San Francisco ","CA",1909,"seq-4","https://articleextractor.org/pages/14345/curiv_jenner_ver01/sn85066387/1909/12/21/ed-1/seq-4/1",NA,NA,"sn85066387",NA,NA,NA,"N","1900s","California","West","North"
"917",1313,14346,"Los Angeles herald ","Cumberland Gap, TN","1/27/1892","Los Angeles , California",-118.24264,34.054908,"Los Angeles ","CA",1892,"seq-2","https://articleextractor.org/pages/14346/curiv_lovelock_ver01/sn84025968/1892/01/27/ed-1/seq-2/1","Cumberland Gap","TN","sn84025968",-83.668525,36.599527,1949,"N","1890s","California","West","North"
"918",1314,14349,"Sacramento daily record-union ","Birmingham, AL","1/16/1889","Sacramento , California",-121.4944,38.581572,"Sacramento ","CA",1889,"seq-6","https://articleextractor.org/pages/14349/curiv_mojave_ver01/sn82014381/1889/01/16/ed-1/seq-6/1","Birmingham","AL","sn82014381",-86.810357,33.518589,1959,"N","1880s","California","West","North"
"919",1315,14350,"The morning call ","Jackson, TN","7/27/1891","San Francisco , California",-122.41942,37.774929,"San Francisco ","CA",1891,"seq-1","https://articleextractor.org/pages/14350/curiv_oakland_ver01/sn94052989/1891/07/27/ed-1/seq-1/1","Jackson","TN","sn94052989",-88.813947,35.614517,1860,"N","1890s","California","West","North"
"920",1316,14351,"Los Angeles herald ","Belmont, MO","5/21/1905","Los Angeles , California",-118.24264,34.054908,"Los Angeles ","CA",1905,"seq-3","https://articleextractor.org/pages/14351/curiv_oasis_ver01/sn85042462/1905/05/21/ed-1/seq-3/1","Belmont","MO","sn85042462",-89.121734,36.766446,1646,"N","1900s","California","West","North"
"921",1317,14352,"Los Angeles herald ","Springfield, MO","4/15/1906","Los Angeles , California",-118.24264,34.054908,"Los Angeles ","CA",1906,"seq-1","https://articleextractor.org/pages/14352/curiv_oasis_ver01/sn85042462/1906/04/15/ed-1/seq-1/1","Springfield","MO","sn85042462",-93.292299,37.208957,1415,"N","1900s","California","West","North"
"922",1320,14353,"Los Angeles herald ","London, KY","10/18/1905","Los Angeles , California",-118.24264,34.054908,"Los Angeles ","CA",1905,"seq-1","https://articleextractor.org/pages/14353/curiv_oasis_ver01/sn85042462/1905/10/18/ed-1/seq-1/1","London","KY","sn85042462",-84.083265,37.128977,1923,"N","1900s","California","West","North"
"923",1321,14354,"The record-union ","Cumberland Gap, TN","3/27/1891","Sacramento, California",-121.4944,38.581572,"Sacramento","CA",1891,"seq-1","https://articleextractor.org/pages/14354/curiv_oakland_ver01/sn82015104/1891/03/27/ed-1/seq-1/1","Cumberland Gap","TN","sn82015104",-83.668525,36.599527,2063,"N","1890s","California","West","North"
"924",1322,14355,"Los Angeles herald ","Bancroft, NE","8/27/1907","Los Angeles , California",-118.24264,34.054908,"Los Angeles ","CA",1907,"seq-2","https://articleextractor.org/pages/14355/curiv_pomo_ver01/sn85042462/1907/08/27/ed-1/seq-2/1","Bancroft","NE","sn85042462",-96.57281,42.012773,1298,"N","1900s","California","West","North"
"925",1323,14356,"Los Angeles herald ","Van Vlett, MS","11/4/1907","Los Angeles , California",-118.24264,34.054908,"Los Angeles ","CA",1907,"seq-8","https://articleextractor.org/pages/14356/curiv_pomo_ver01/sn85042462/1907/11/04/ed-1/seq-8/1","Van Vlett","MS","sn85042462",-88.900334,33.987055,1676,"N","1900s","California","West","North"
"926",1324,14357,"Los Angeles herald ","Jacksonville, FL","5/10/1909","Los Angeles , California",-118.24264,34.054908,"Los Angeles ","CA",1909,"seq-1","https://articleextractor.org/pages/14357/curiv_quailvalley_ver01/sn85042462/1909/05/10/ed-1/seq-1/1","Jacksonville","FL","sn85042462",-81.655651,30.332184,2146,"N","1900s","California","West","North"
"927",1325,14358,"Los Angeles herald ","Rock, WV","8/22/1909","Los Angeles , California",-118.24264,34.054908,"Los Angeles ","CA",1909,"seq-1","https://articleextractor.org/pages/14358/curiv_quailvalley_ver01/sn85042462/1909/08/22/ed-1/seq-1/1","Rock","WV","sn85042462",-81.222042,37.367895,2079,"N","1900s","California","West","North"
"928",1326,14361,"Smyrna times ","Newark, OH","2/15/1911","Smyrna, Delaware",-75.60465,39.299834,"Smyrna","DE",1911,"seq-3","https://articleextractor.org/pages/14361/deu_batman_ver01/sn84020422/1911/02/15/ed-1/seq-3/1","Newark","OH","sn84020422",-82.401264,40.058121,366,"N","1910s","Delaware","South","Border"
"929",1327,14362,"The daily gazette ","NA, NA","5/5/1881","Wilmington, Delaware",-75.54839,39.744655,"Wilmington","DE",1881,"seq-4","https://articleextractor.org/pages/14362/deu_bombarda_ver01/sn82014805/1881/05/05/ed-1/seq-4/1",NA,NA,"sn82014805",NA,NA,NA,"N","1880s","Delaware","South","Border"
"930",1328,14363,"Evening journal ","Lawrenceville, VA","7/2/1901","Wilmington, Delaware",-75.54839,39.744655,"Wilmington","DE",1901,"seq-5","https://articleextractor.org/pages/14363/deu_bear_ver01/sn85042354/1901/07/02/ed-1/seq-5/1","Lawrenceville","VA","sn85042354",-77.846937,36.757647,241,"N","1900s","Delaware","South","Border"
"931",1329,14364,"Milford chronicle ","Valliant, OK","12/15/1911","Milford, Delaware",-75.42798,38.912613,"Milford","DE",1911,"seq-5","https://articleextractor.org/pages/14364/deu_catwoman_ver01/sn87062224/1911/12/15/ed-1/seq-5/1","Valliant","OK","sn87062224",-95.093839,34.002329,1143,"N","1910s","Delaware","South","Border"
"932",1330,14365,"Middletown transcript ","Chestertown, MD","1/3/1914","Middletown, Delaware",-75.71632,39.449556,"Middletown","DE",1914,"seq-1","https://articleextractor.org/pages/14365/deu_crucio_ver01/sn84026820/1914/01/03/ed-1/seq-1/1","Chestertown","MD","sn84026820",-76.069004,39.218866,25,"N","1910s","Delaware","South","Border"
"933",1331,14366,"The Wilmington daily Republican. ","Shelbyville, IN","8/24/1891","Wilmington, Delaware",-75.54839,39.744655,"Wilmington","DE",1891,"seq-1","https://articleextractor.org/pages/14366/deu_episky_ver01/sn88053055/1891/08/24/ed-1/seq-1/1","Shelbyville","IN","sn88053055",-85.776924,39.521437,545,"N","1890s","Delaware","South","Border"
"934",1333,14367,"Daily Republican ","Columbus, MS","5/22/1890",", Delaware",-75.52767,38.910832,"","DE",1890,"seq-1","https://articleextractor.org/pages/14367/deu_episky_ver01/sn84038114/1890/05/22/ed-1/seq-1/1","Columbus","MS","sn84038114",-88.427263,33.495674,811,"N","1890s","Delaware","South","Border"
"935",1334,14368,"The Wilmington daily Republican. ","Lexington, KY","10/15/1894","Wilmington, Delaware",-75.54839,39.744655,"Wilmington","DE",1894,"seq-2","https://articleextractor.org/pages/14368/deu_episky_ver01/sn88053055/1894/10/15/ed-1/seq-2/1","Lexington","KY","sn88053055",-84.503716,38.040584,496,"N","1890s","Delaware","South","Border"
"936",1335,14369,"The Wilmington daily Republican. ","Scottsville, KY","7/17/1894","Wilmington, Delaware",-75.54839,39.744655,"Wilmington","DE",1894,"seq-1","https://articleextractor.org/pages/14369/deu_episky_ver01/sn88053055/1894/07/17/ed-1/seq-1/1","Scottsville","KY","sn88053055",-86.190542,36.753378,614,"N","1890s","Delaware","South","Border"
"937",1336,14370,"The Wilmington daily Republican. ","Clayton, DE","4/30/1892","Wilmington, Delaware",-75.54839,39.744655,"Wilmington","DE",1892,"seq-4","https://articleextractor.org/pages/14370/deu_episky_ver01/sn88053055/1892/04/30/ed-1/seq-4/1","Clayton","DE","sn88053055",-75.634373,39.290667,32,"Y","1890s","Delaware","South","Border"
"938",1337,14371,"The Wilmington daily Republican. ","Union City, TN","9/18/1896","Wilmington, Delaware",-75.54839,39.744655,"Wilmington","DE",1896,"seq-3","https://articleextractor.org/pages/14371/deu_fidelius_ver01/sn88053055/1896/09/18/ed-1/seq-3/1","Union City","TN","sn88053055",-89.05701,36.42423,770,"N","1890s","Delaware","South","Border"
"939",1338,14372,"The Wilmington daily Republican. ","Princess Anne, MD","6/10/1897","Wilmington, Delaware",-75.54839,39.744655,"Wilmington","DE",1897,"seq-3","https://articleextractor.org/pages/14372/deu_fidelius_ver01/sn88053055/1897/06/10/ed-1/seq-3/1","Princess Anne","MD","sn88053055",-75.692427,38.202899,107,"N","1890s","Delaware","South","Border"
"940",1339,14374,"The Cordova daily times ","Council Bluffs, IA","12/30/1920","Cordova, Alaska",-145.75254,60.542409,"Cordova","AK",1920,"seq-1","https://articleextractor.org/pages/14374/ak_gyrfalcon_ver01/sn86072239/1920/12/30/ed-1/seq-1/1","Council Bluffs","IA","sn86072239",-95.860833,41.261944,2467,"N","1920s","Alaska","West","Misc"
"941",1340,14375,"The Cordova daily times ","Waco, TX","2/10/1923","Cordova, Alaska",-145.75254,60.542409,"Cordova","AK",1923,"seq-1","https://articleextractor.org/pages/14375/ak_gyrfalcon_ver01/sn86072239/1923/02/10/ed-1/seq-1/1","Waco","TX","sn86072239",-97.14667,31.549333,2966,"N","1920s","Alaska","West","Misc"
"942",1341,14376,"The Alaska citizen. ","Nashville, TN","9/6/1915","Fairbanks, Alaska",-147.71998,64.840051,"Fairbanks","AK",1915,"seq-1","https://articleextractor.org/pages/14376/ak_gyrfalcon_ver01/sn96060002/1915/09/06/ed-1/seq-1/1","Nashville","TN","sn96060002",-86.781602,36.162664,3148,"N","1910s","Alaska","West","Misc"
"943",1342,14377,"Semi=weekly graphic. ","Greenwood, MS","10/24/1896","Pine Bluff, Arkansas",-92.0034,34.224908,"Pine Bluff","AR",1896,"seq-3","https://articleextractor.org/pages/14377/arhi_aerosmith_ver01/sn89051163/1896/10/24/ed-1/seq-3/1","Greenwood","MS","sn89051163",-90.179528,33.516232,116,"N","1890s","Arkansas","South","South"
"944",1343,14378,"The Forrest City times ","Council Bluffs, IA","1/1/1904","Forrest City, Arkansas",-90.78523,35.009258,"Forrest City","AR",1904,"seq-1","https://articleextractor.org/pages/14378/arhi_alakazam_ver01/sn84022960/1904/01/01/ed-1/seq-1/1","Council Bluffs","IA","sn84022960",-95.860833,41.261944,513,"N","1900s","Arkansas","South","South"
"945",1344,14379,"The log cabin Democrat ","Duluth, MN","6/16/1920","Conway, Arkansas",-92.43665,35.091751,"Conway","AR",1920,"seq-1","https://articleextractor.org/pages/14379/arhi_bulbasaur_ver01/sn85033000/1920/06/16/ed-1/seq-1/1","Duluth","MN","sn85033000",-92.100485,46.786672,809,"N","1920s","Arkansas","South","South"
"946",1345,14380,"The log cabin Democrat ","Datura, TX","8/16/1921","Conway, Arkansas",-92.43665,35.091751,"Conway","AR",1921,"seq-1","https://articleextractor.org/pages/14380/arhi_bulbasaur_ver01/sn85033000/1921/08/16/ed-1/seq-1/1","Datura","TX","sn85033000",-96.613041,31.724332,335,"N","1920s","Arkansas","South","South"
"947",1346,14381,"The Sentinel=record. ","Cairo, IL","2/19/1910","Hot Springs, Arkansas",-93.0546,34.507762,"Hot Springs","AR",1910,"seq-1","https://articleextractor.org/pages/14381/arhi_electabuzz_ver01/sn89051285/1910/02/19/ed-1/seq-1/1","Cairo","IL","sn89051285",-89.176461,37.005329,278,"N","1910s","Arkansas","South","South"
"948",1347,14383,"Newport weekly independent. ","New York City, NY","7/24/1903","Newport, Arkansas",-91.26413,35.606063,"Newport","AR",1903,"seq-2","https://articleextractor.org/pages/14383/arhi_kangaskhan_ver02/sn89051128/1903/07/24/ed-1/seq-2/1","New York City","NY","sn89051128",-74.005973,40.712775,1001,"N","1900s","Arkansas","South","South"
"949",1348,14384,"The Dermott news. ","Atlanta, GA","8/26/1915","Dermott, Arkansas",-91.43609,33.524958,"Dermott","AR",1915,"seq-6","https://articleextractor.org/pages/14384/arhi_kangaskhan_ver02/sn90050260/1915/08/26/ed-1/seq-6/1","Atlanta","GA","sn90050260",-84.387684,33.748752,406,"N","1910s","Arkansas","South","South"
"950",1349,14385,"Pine Bluff daily graphic. ","Muskogee, OK","6/18/1916","Pine Bluff, Arkansas",-92.0034,34.224908,"Pine Bluff","AR",1916,"seq-13","https://articleextractor.org/pages/14385/arhi_kraftwerk_ver01/sn89051168/1916/06/18/ed-1/seq-13/1","Muskogee","OK","sn89051168",-95.369691,35.747877,218,"N","1910s","Arkansas","South","South"
"951",1350,14386,"The age-herald ","Emporia, VA","3/25/1900","Birmingham, Alabama",-86.81036,33.518589,"Birmingham","AL",1900,"seq-1","https://articleextractor.org/pages/14386/au_brown_ver01/sn86072192/1900/03/25/ed-1/seq-1/1","Emporia","VA","sn86072192",-77.542481,36.685983,568,"N","1900s","Alabama","South","South"
"952",1351,14387,"The Birmingham age-herald ","Anniston, AL","11/9/1902","Birmingham, Alabama",-86.81036,33.518589,"Birmingham","AL",1902,"seq-3","https://articleextractor.org/pages/14387/au_capote_ver01/sn85038485/1902/11/09/ed-1/seq-3/1","Anniston","AL","sn85038485",-85.831632,33.659826,57,"Y","1900s","Alabama","South","South"
"953",1352,14389,"The Birmingham age-herald ","Belleville, IL","6/26/1903","Birmingham, Alabama",-86.81036,33.518589,"Birmingham","AL",1903,"seq-4","https://articleextractor.org/pages/14389/au_capote_ver01/sn85038485/1903/06/26/ed-1/seq-4/1","Belleville","IL","sn85038485",-89.983993,38.52005,389,"N","1900s","Alabama","South","South"
"954",1354,14390,"The Birmingham age-herald ","Asotin, WA","8/6/1903","Birmingham, Alabama",-86.81036,33.518589,"Birmingham","AL",1903,"seq-1","https://articleextractor.org/pages/14390/au_capote_ver01/sn85038485/1903/08/06/ed-1/seq-1/1","Asotin","WA","sn85038485",-117.048212,46.339326,1817,"N","1900s","Alabama","South","South"
"955",1355,14391,"The Birmingham age-herald ","Taylortown, LA","11/3/1903","Birmingham, Alabama",-86.81036,33.518589,"Birmingham","AL",1903,"seq-1","https://articleextractor.org/pages/14391/au_capote_ver01/sn85038485/1903/11/03/ed-1/seq-1/1","Taylortown","LA","sn85038485",-93.596009,32.386544,401,"N","1900s","Alabama","South","South"
"956",1356,14392,"The age-herald ","Jefferson, TX","11/16/1900","Birmingham, Alabama",-86.81036,33.518589,"Birmingham","AL",1900,"seq-2","https://articleextractor.org/pages/14392/au_capote_ver01/sn86072192/1900/11/16/ed-1/seq-2/1","Jefferson","TX","sn86072192",-94.345193,32.757363,439,"N","1900s","Alabama","South","South"
"957",1357,14393,"The age-herald ","Lynchburg, TN","2/7/1902","Birmingham, Alabama",-86.81036,33.518589,"Birmingham","AL",1902,"seq-10","https://articleextractor.org/pages/14393/au_capote_ver01/sn86072192/1902/02/07/ed-1/seq-10/1","Lynchburg","TN","sn86072192",-86.374021,35.283024,125,"N","1900s","Alabama","South","South"
"958",1358,14394,"The age-herald ","Washington, NC","3/26/1902","Birmingham, Alabama",-86.81036,33.518589,"Birmingham","AL",1902,"seq-3","https://articleextractor.org/pages/14394/au_capote_ver01/sn86072192/1902/03/26/ed-1/seq-3/1","Washington","NC","sn86072192",-77.052174,35.546552,573,"N","1900s","Alabama","South","South"
"959",1359,14395,"The Birmingham age-herald ","Little Rock, AR","8/11/1906","Birmingham, Alabama",-86.81036,33.518589,"Birmingham","AL",1906,"seq-10","https://articleextractor.org/pages/14395/au_evans_ver01/sn85038485/1906/08/11/ed-1/seq-10/1","Little Rock","AR","sn85038485",-92.288016,34.744462,325,"N","1900s","Alabama","South","South"
"960",1360,14396,"The Birmingham age-herald ","Springfield, MO","11/26/1906","Birmingham, Alabama",-86.81036,33.518589,"Birmingham","AL",1906,"seq-1","https://articleextractor.org/pages/14396/au_evans_ver01/sn85038485/1906/11/26/ed-1/seq-1/1","Springfield","MO","sn85038485",-93.292299,37.208957,446,"N","1900s","Alabama","South","South"
"961",1361,14397,"The Birmingham age-herald ","Chattanooga, TN","5/25/1909","Birmingham, Alabama",-86.81036,33.518589,"Birmingham","AL",1909,"seq-6","https://articleextractor.org/pages/14397/au_flagg_ver01/sn85038485/1909/05/25/ed-1/seq-6/1","Chattanooga","TN","sn85038485",-85.309399,35.045798,136,"N","1900s","Alabama","South","South"
"962",1363,14399,"The Birmingham age-herald ","Newark, OH","7/23/1910","Birmingham, Alabama",-86.81036,33.518589,"Birmingham","AL",1910,"seq-1","https://articleextractor.org/pages/14399/au_gaston_ver01/sn85038485/1910/07/23/ed-1/seq-1/1","Newark","OH","sn85038485",-82.401264,40.058121,514,"N","1910s","Alabama","South","South"
"963",1364,14400,"The Birmingham age-herald ","Macon, GA","11/8/1910","Birmingham, Alabama",-86.81036,33.518589,"Birmingham","AL",1910,"seq-1","https://articleextractor.org/pages/14400/au_gaston_ver01/sn85038485/1910/11/08/ed-1/seq-1/1","Macon","GA","sn85038485",-83.632402,32.840695,190,"N","1910s","Alabama","South","South"
"964",1365,14401,"The Birmingham age-herald ","Warrenton, NC","9/18/1911","Birmingham, Alabama",-86.81036,33.518589,"Birmingham","AL",1911,"seq-7","https://articleextractor.org/pages/14401/au_huie_ver01/sn85038485/1911/09/18/ed-1/seq-7/1","Warrenton","NC","sn85038485",-78.155271,36.39848,529,"N","1910s","Alabama","South","South"
"965",1366,14402,"The Birmingham age-herald ","Eastman, GA","10/6/1911","Birmingham, Alabama",-86.81036,33.518589,"Birmingham","AL",1911,"seq-11","https://articleextractor.org/pages/14402/au_huie_ver01/sn85038485/1911/10/06/ed-1/seq-11/1","Eastman","GA","sn85038485",-83.177651,32.197673,230,"N","1910s","Alabama","South","South"
"966",1367,14403,"The Birmingham age-herald ","Hamilton, GA","1/23/1912","Birmingham, Alabama",-86.81036,33.518589,"Birmingham","AL",1912,"seq-8","https://articleextractor.org/pages/14403/au_huie_ver01/sn85038485/1912/01/23/ed-1/seq-8/1","Hamilton","GA","sn85038485",-84.874931,32.757911,124,"N","1910s","Alabama","South","South"
