"","X","...1","...2","file_id","date","newspaper_name","newspaper_city","newspaper_state","URL","sn","year","month","day","edition","news_address","has_article_highlights","last_modified","num_annotations","flag_irrelevant","flag_bad_layout","flag_other","last_modified_by","last_modified_by_name","newspaper_state_clean"
"6424",34864,34864,34864,54588,"1947-08-05","The Wilmington morning star","Wilmington","N.C","https://articleextractor.org/pages//54588/ncu_iris_ver01/sn78002169/1947/08/05/ed-1/seq-7/0?user_id=6","sn78002169",1947,8,5,"ed-1","Wilmington,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6425",34865,34865,34865,54590,"1947-11-30","The Wilmington morning star","Wilmington","N.C","https://articleextractor.org/pages//54590/ncu_iris_ver01/sn78002169/1947/11/30/ed-1/seq-9/0?user_id=6","sn78002169",1947,11,30,"ed-1","Wilmington,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6426",34869,34869,34869,54594,"1947-09-18","The Wilmington morning star","Wilmington","N.C","https://articleextractor.org/pages//54594/ncu_iris_ver01/sn78002169/1947/09/18/ed-1/seq-1/0?user_id=6","sn78002169",1947,9,18,"ed-1","Wilmington,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6427",34874,34874,34874,54600,"1947-10-20","The Wilmington morning star","Wilmington","N.C","https://articleextractor.org/pages//54600/ncu_iris_ver01/sn78002169/1947/10/20/ed-1/seq-1/0?user_id=6","sn78002169",1947,10,20,"ed-1","Wilmington,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6428",34886,34886,34886,54613,"1946-11-09","The southern news","Asheville","N.C","https://articleextractor.org/pages//54613/ncu_isner_ver01/sn98058951/1946/11/09/ed-1/seq-3/0?user_id=6","sn98058951",1946,11,9,"ed-1","Asheville,  N.C",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6429",34891,34891,34891,54625,"1887-09-01","The state chronicle","Raleigh","N.C 1883-1893","https://articleextractor.org/pages//54625/ncu_jefferson_ver02/sn91090200/1887/09/01/ed-1/seq-1/0?user_id=6","sn91090200",1887,9,1,"ed-1","Raleigh,  N.C 1883-1893",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6430",34893,34893,34893,54627,"1887-03-17","The state chronicle","Raleigh","N.C 1883-1893","https://articleextractor.org/pages//54627/ncu_jefferson_ver02/sn91090200/1887/03/17/ed-1/seq-3/0?user_id=6","sn91090200",1887,3,17,"ed-1","Raleigh,  N.C 1883-1893",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6431",34894,34894,34894,54628,"1887-05-12","The state chronicle","Raleigh","N.C 1883-1893","https://articleextractor.org/pages//54628/ncu_jefferson_ver02/sn91090200/1887/05/12/ed-1/seq-1/0?user_id=6","sn91090200",1887,5,12,"ed-1","Raleigh,  N.C 1883-1893",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6432",34895,34895,34895,54629,"1884-04-05","The state chronicle","Raleigh","N.C 1883-1893","https://articleextractor.org/pages//54629/ncu_jefferson_ver02/sn91090200/1884/04/05/ed-1/seq-2/0?user_id=6","sn91090200",1884,4,5,"ed-1","Raleigh,  N.C 1883-1893",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6433",34896,34896,34896,54632,"1889-11-01","The state chronicle","Raleigh","N.C 1883-1893","https://articleextractor.org/pages//54632/ncu_jefferson_ver02/sn91090200/1889/11/01/ed-1/seq-1/0?user_id=6","sn91090200",1889,11,1,"ed-1","Raleigh,  N.C 1883-1893",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6434",34897,34897,34897,54633,"1891-05-12","The state chronicle","Raleigh","N.C 1883-1893","https://articleextractor.org/pages//54633/ncu_jefferson_ver02/sn91090200/1891/05/12/ed-1/seq-2/0?user_id=6","sn91090200",1891,5,12,"ed-1","Raleigh,  N.C 1883-1893",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6435",34898,34898,34898,54634,"1890-01-24","The state chronicle","Raleigh","N.C 1883-1893","https://articleextractor.org/pages//54634/ncu_jefferson_ver02/sn91090200/1890/01/24/ed-1/seq-2/0?user_id=6","sn91090200",1890,1,24,"ed-1","Raleigh,  N.C 1883-1893",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6436",34899,34899,34899,54635,"1891-03-25","The state chronicle","Raleigh","N.C 1883-1893","https://articleextractor.org/pages//54635/ncu_jefferson_ver02/sn91090200/1891/03/25/ed-1/seq-3/0?user_id=6","sn91090200",1891,3,25,"ed-1","Raleigh,  N.C 1883-1893",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6437",34900,34900,34900,54636,"1892-05-24","The state chronicle","Raleigh","N.C 1883-1893","https://articleextractor.org/pages//54636/ncu_jefferson_ver02/sn91090200/1892/05/24/ed-1/seq-3/0?user_id=6","sn91090200",1892,5,24,"ed-1","Raleigh,  N.C 1883-1893",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
"6438",34901,34901,34901,54637,"1889-09-20","The state chronicle","Raleigh","N.C 1883-1893","https://articleextractor.org/pages//54637/ncu_jefferson_ver02/sn91090200/1889/09/20/ed-1/seq-2/0?user_id=6","sn91090200",1889,9,20,"ed-1","Raleigh,  N.C 1883-1893",NA,"2023-09-02 00:25:25",0,0,0,0,NA,NA,"NC"
