word1,word2,word3,n,decade
and,dallas,have,2,pre1850
and,execution,of,2,pre1850
and,feet,and,2,pre1850
and,fourfifths,of,2,pre1850
and,give,him,2,pre1850
and,guns,as,2,pre1850
and,hanged,the,2,pre1850
and,he,was,2,pre1850
and,his,relatives,2,pre1850
and,i,might,2,pre1850
and,i,take,2,pre1850
and,in,consequence,2,pre1850
and,intends,to,2,pre1850
and,jones,and,2,pre1850
and,left,him,2,pre1850
and,mother,together,2,pre1850
and,of,two,2,pre1850
and,ohio,canal,2,pre1850
and,one,of,2,pre1850
and,property,of,2,pre1850
and,robert,hunter,2,pre1850
and,several,others,2,pre1850
and,sisters,his,2,pre1850
and,soon,after,2,pre1850
and,spear,from,2,pre1850
and,squire,forrer,2,pre1850
and,that,answers,2,pre1850
and,the,county,2,pre1850
and,the,mob,2,pre1850
and,the,united,2,pre1850
and,the,wrathful,2,pre1850
and,they,are,2,pre1850
and,to,the,2,pre1850
and,to,think,2,pre1850
and,we,cried,2,pre1850
and,went,in,2,pre1850
and,will,yield,2,pre1850
annoyance,of,the,2,pre1850
another,caught,hold,2,pre1850
answers,our,purpose,2,pre1850
any,english,officer,2,pre1850
any,interference,of,2,pre1850
any,little,complaisance,2,pre1850
appealed,to,been,2,pre1850
appears,that,a,2,pre1850
apply,a,remedy,2,pre1850
aquilla,barnes,and,2,pre1850
are,committing,the,2,pre1850
are,now,in,2,pre1850
are,said,to,2,pre1850
arkansas,and,squire,2,pre1850
arrived,in,the,2,pre1850
as,before,although,2,pre1850
as,in,every,2,pre1850
as,many,lashes,2,pre1850
as,regards,order,2,pre1850
as,rich,as,2,pre1850
as,the,report,2,pre1850
as,there,is,2,pre1850
as,we,are,2,pre1850
at,12,o'clock,2,pre1850
at,least,took,2,pre1850
at,that,time,2,pre1850
at,the,house,2,pre1850
at,the,last,2,pre1850
at,the,latest,2,pre1850
at,the,nore,2,pre1850
at,the,opening,2,pre1850
at,the,present,2,pre1850
at,the,wedding,2,pre1850
at,this,time,2,pre1850
attached,to,the,2,pre1850
attack,on,the,2,pre1850
babes,and,his,2,pre1850
balsam,of,wild,2,pre1850
barnes,and,the,2,pre1850
barnes,son,of,2,pre1850
be,able,to,2,pre1850
be,as,rich,2,pre1850
be,brought,to,2,pre1850
be,collected,at,2,pre1850
be,no,doubt,2,pre1850
been,appealed,to,2,pre1850
been,arrested,with,2,pre1850
been,carried,into,2,pre1850
been,guilty,of,2,pre1850
been,hung,by,2,pre1850
been,more,than,2,pre1850
been,put,in,2,pre1850
been,recorded,by,2,pre1850
been,sent,from,2,pre1850
been,the,enormity,2,pre1850
before,although,the,2,pre1850
before,the,ensuing,2,pre1850
belonged,to,the,2,pre1850
best,interests,of,2,pre1850
between,the,5th,2,pre1850
biddle,and,jones,2,pre1850
blasting,his,fame,2,pre1850
bore,it,nobly,2,pre1850
bread,has,driven,2,pre1850
brothers,and,sisters,2,pre1850
but,little,about,2,pre1850
but,on,the,2,pre1850
but,our,interference,2,pre1850
but,should,congress,2,pre1850
but,that,at,2,pre1850
but,that,he,2,pre1850
but,this,moment,2,pre1850
by,an,alibi,2,pre1850
by,pulling,themperhaps,2,pre1850
california,are,getting,2,pre1850
california,should,be,2,pre1850
camelford,shot,his,2,pre1850
can,be,no,2,pre1850
can,well,afford,2,pre1850
cannot,go,into,2,pre1850
canoe,and,set,2,pre1850
capturing,27,men,2,pre1850
carried,into,effect,2,pre1850
caught,hold,of,2,pre1850
cause,of,this,2,pre1850
caused,many,to,2,pre1850
chesapeake,and,ohio,2,pre1850
collected,and,went,2,pre1850
collected,at,this,2,pre1850
committed,to,jail,2,pre1850
