...1,word1,word2,n,decade,x
84717,life,prisoner,1,1920,life prisoner
84718,life,victim,1,1920,life victim
84719,light,herman,1,1920,light herman
84720,light,pole,1,1920,light pole
84721,limb,prviously,1,1920,limb prviously
84722,lincoln,peculiar,1,1920,lincoln peculiar
84723,line,torches,1,1920,line torches
84724,link,chief,1,1920,link chief
84725,liquor,traffic,1,1920,liquor traffic
84726,literally,jail,1,1920,literally jail
84727,litterally,riddled,1,1920,litterally riddled
84728,lius,mekelvey,1,1920,lius mekelvey
84729,lively,bud,1,1920,lively bud
84730,lives,lee's,1,1920,lives lee's
84731,livestock,receipts,1,1920,livestock receipts
84732,lleved,negroes,1,1920,lleved negroes
84733,local,authorities,1,1920,local authorities
84734,local,justice,1,1920,local justice
84735,local,newspaper's,1,1920,local newspaper's
84736,local,officials,1,1920,local officials
84737,local,pride,1,1920,local pride
84738,locality,robert,1,1920,locality robert
84739,lockett,negro,1,1920,lockett negro
84740,lone,star,1,1920,lone star
84741,lonely,spot,1,1920,lonely spot
84742,lonesbridge,ga,1,1920,lonesbridge ga
84743,looked,enormous,1,1920,looked enormous
84744,loomis,fled,1,1920,loomis fled
84745,looted,troops,1,1920,looted troops
84746,loray,mill,1,1920,loray mill
84747,los,angeles,1,1920,los angeles
84748,lost,considerable,1,1920,lost considerable
84749,lost,night,1,1920,lost night
84750,louce,buruings,1,1920,louce buruings
84751,louise,miss,1,1920,louise miss
84752,louisiana,5,1,1920,louisiana 5
84753,louisiana,7,1,1920,louisiana 7
84754,love,story,1,1920,love story
84755,lovett,judge,1,1920,lovett judge
84756,lovlick,yesterday,1,1920,lovlick yesterday
84757,lowans,burned,1,1920,lowans burned
84758,lowden,supporters,1,1920,lowden supporters
84759,lower,animal,1,1920,lower animal
84760,lower,race,1,1920,lower race
84761,lowest,days,1,1920,lowest days
84762,lowry,negro,1,1920,lowry negro
84763,lowry's,clothing,1,1920,lowry's clothing
84764,lows,murder,1,1920,lows murder
84765,lum,duke,1,1920,lum duke
84766,lumbago,worm,1,1920,lumbago worm
84767,lumber,plant,1,1920,lumber plant
84768,lynch,beal,1,1920,lynch beal
84769,lynch,bobs,1,1920,lynch bobs
84770,lynch,gilbert,1,1920,lynch gilbert
84771,lynch,hin,1,1920,lynch hin
84772,lynch,horace,1,1920,lynch horace
84773,lynch,k.o,1,1920,lynch k.o
84774,lynch,life,1,1920,lynch life
84775,lynch,negroes,1,1920,lynch negroes
84776,lynch,pol,1,1920,lynch pol
84777,lynch,slayer,1,1920,lynch slayer
84778,lynch,white,1,1920,lynch white
84779,lynch,william,1,1920,lynch william
84780,lynched,75,1,1920,lynched 75
84781,lynched,anderson,1,1920,lynched anderson
84782,lynched,aug,1,1920,lynched aug
84783,lynched,beat,1,1920,lynched beat
84784,lynched,chandler's,1,1920,lynched chandler's
84785,lynched,equality,1,1920,lynched equality
84786,lynched,george,1,1920,lynched george
84787,lynched,jail,1,1920,lynched jail
84788,lynched,jones,1,1920,lynched jones
84789,lynched,mon,1,1920,lynched mon
84790,lynched,ne,1,1920,lynched ne
84791,lynched,philip,1,1920,lynched philip
84792,lynched,quiet,1,1920,lynched quiet
84793,lynched,raymond,1,1920,lynched raymond
84794,lynched,saturday,1,1920,lynched saturday
84795,lynched,tarver,1,1920,lynched tarver
84796,lynched,wrong,1,1920,lynched wrong
84797,lynchers,entered,1,1920,lynchers entered
