...1,word1,word2,n,decade,x
24482,sherman's,"60,000",1,1930s,"sherman's 60,000"
24483,sherman's,vote,1,1930s,sherman's vote
24484,sherran,mob,1,1930s,sherran mob
24485,sherwood,anderson,1,1930s,sherwood anderson
24486,shifress,moorhead,1,1930s,shifress moorhead
24487,shifted,uneasily,1,1930s,shifted uneasily
24488,shinny,cup,1,1930s,shinny cup
24489,shipp,18,1,1930s,shipp 18
24490,shipp,abe,1,1930s,shipp abe
24491,shirley,falwell,1,1930s,shirley falwell
24492,sho,mobs,1,1930s,sho mobs
24493,shocked,terribly,1,1930s,shocked terribly
24494,shocking,lynch,1,1930s,shocking lynch
24495,shocking,lynching,1,1930s,shocking lynching
24496,shoemaker,recalls,1,1930s,shoemaker recalls
24497,shoes,strapped,1,1930s,shoes strapped
24498,sholtz,governer,1,1930s,sholtz governer
24499,sholtz,promised,1,1930s,sholtz promised
24500,sholtz,wired,1,1930s,sholtz wired
24501,shoot,dogs,1,1930s,shoot dogs
24502,shoot,led,1,1930s,shoot led
24503,shoot,mob,1,1930s,shoot mob
24504,shoot,torture,1,1930s,shoot torture
24505,shooting,defend,1,1930s,shooting defend
24506,shooting,hanging,1,1930s,shooting hanging
24507,shore,arrest,1,1930s,shore arrest
24508,shore,boti,1,1930s,shore boti
24509,shore,country,1,1930s,shore country
24510,shore,farmer,1,1930s,shore farmer
24511,shore,louis,1,1930s,shore louis
24512,shore,papers,1,1930s,shore papers
24513,shore,realizing,1,1930s,shore realizing
24514,short,called,1,1930s,short called
24515,short,distance,1,1930s,short distance
24516,short,parley,1,1930s,short parley
24517,short,prison,1,1930s,short prison
24518,short,sightedness,1,1930s,short sightedness
24519,short,term,1,1930s,short term
24520,shortly,afterward,1,1930s,shortly afterward
24521,shortly,arrested,1,1930s,shortly arrested
24522,shot,10,1,1930s,shot 10
24523,shot,chas,1,1930s,shot chas
24524,shot,home,1,1930s,shot home
24525,shot,jerome,1,1930s,shot jerome
24526,shot,jeroms,1,1930s,shot jeroms
24527,shot,missed,1,1930s,shot missed
24528,shot,mutliated,1,1930s,shot mutliated
24529,shot,shell,1,1930s,shot shell
24530,shot,special,1,1930s,shot special
24531,shot,testimony,1,1930s,shot testimony
24532,shot,tortured,1,1930s,shot tortured
24533,shot,tucs,1,1930s,shot tucs
24534,shot,wounds,1,1930s,shot wounds
24535,shotgun,charge,1,1930s,shotgun charge
24536,shotgun,odis,1,1930s,shotgun odis
24537,shoulder,constituted,1,1930s,shoulder constituted
24538,shrewd,diagnosticians,1,1930s,shrewd diagnosticians
24539,si,tror,1,1930s,si tror
24540,sia,japa,1,1930s,sia japa
24541,sick,smith,1,1930s,sick smith
24542,sickening,thud,1,1930s,sickening thud
24543,sidered,driving,1,1930s,sidered driving
24544,sie,county,1,1930s,sie county
24545,sight,finally,1,1930s,sight finally
24546,sighted,negroes,1,1930s,sighted negroes
24547,sights,swung,1,1930s,sights swung
24548,signals,signals,1,1930s,signals signals
24549,signed,confession,1,1930s,signed confession
24550,signed,møm,1,1930s,signed møm
24551,significant,reactions,1,1930s,significant reactions
24552,signéd,statement,1,1930s,signéd statement
24553,silenced,gun,1,1930s,silenced gun
24554,silenced,weapon,1,1930s,silenced weapon
24555,silently,past,1,1930s,silently past
24556,silly,woman's,1,1930s,silly woman's
24557,silver,platter,1,1930s,silver platter
24558,sima,oipx,1,1930s,sima oipx
24559,similar,impulses,1,1930s,similar impulses
24560,similar,organizations,1,1930s,similar organizations
24561,similar,position,1,1930s,similar position
